Nivel,Módulo,Competencia,Descriptores de Desempeño,Contextos de Uso
C2,Reading,"Classical & Contemporary Literary Masterpieces (Complete Works)","Literary criticism, narrative technique, symbolism, allegory, metaphor, thematic complexity, intertextuality, authorial intent","Crítica literaria"
C2,Reading,"Philosophy & Abstract Theory (800+ words)","Ontological questions, epistemological frameworks, phenomenological analysis, existential thought, ethical systems","Filosofía"
C2,Reading,"Highly Technical Documentation (Medicine, Law, Engineering)","Latin terms, Greek roots, precise terminology, complex syntax, discipline-specific conventions, standardized formats","Lectura técnica especializada"
C2,Reading,"Avant-garde & Experimental Literature","Stream of consciousness, unreliable narrators, fragmented narratives, metafiction, postmodern deconstruction, non-linear structures","Literatura experimental"
C2,Writing,"Extended Scholarly Articles (2000+ words)","Literature review, original research, theoretical contribution, peer-reviewed conventions, citation practices, complex argumentation","Artículos académicos"
C2,Writing,"Books & Monographs (Thesis-length, 10000+ words)","Sustained argumentation, literature synthesis, original contribution to field, complex indexing, appendices, endnotes","Monografías académicas"
C2,Writing,"Creative Literary Works (Novels, Poetry, Drama)","Narrative sophistication, characterization depth, dialogue authenticity, poetic devices, thematic coherence, stylistic mastery","Creación literaria"
C2,Writing,"Critical & Theoretical Essays (1500-2500 words)","Scholarly voice, engagement with existing scholarship, original analysis, theoretical frameworks, nuanced argumentation","Ensayística teórica"
C2,Writing,"Professional & Legal Documentation (Contracts, Policy Papers)","Precise terminology, legal conventions, conditional structures, clause organization, formal register, binding language","Documentación profesional"
C2,Listening,"Highly Specialized Academic Lectures & Seminars (30-45 min)","Technical vocabulary, theoretical frameworks, implicit assumptions, complex argumentation structures, expert-level discourse","Seminarios académicos"
C2,Listening,"Complex Documentary & Analytical Programs (45-60 min)","Multiple perspectives synthesized, methodological critique, historical depth, cause-effect relationships, subtle bias detection","Análisis documental avanzado"
C2,Listening,"Multilingual & Specialized Broadcasts (News, Analysis 30+ min)","Journalistic register, specialized reporting, cultural references, international accents, rapid-fire information, editorial voice","Medios internacionales"
C2,Listening,"Classical Literature & Poetry Readings (30-45 min extracts)","Archaic language, prosodic devices, layers of meaning, allusion-rich narrative, emotional resonance through voice modulation","Literatura clásica"
C2,Listening,"Philosophy & Theory Lectures (30-45 min)","Abstract conceptualization, historical context, argument deconstruction, counter-arguments, foundational ideas, contemporary application","Filosofía y teoría"
C2,Speaking,"Keynote Speeches & Major Presentations (30+ minutes)","Sustained delivery, audience engagement, complex argumentation, sophisticated humor, rhetorical mastery, improvisation on theme","Oratoria magistral"
C2,Speaking,"Advanced Academic Seminars & Colloquia","Research presentation, expert peer feedback, scholarly debate, theoretical discussion, publication prospects","Seminarios académicos"
C2,Speaking,"Media & Broadcast Commentary (Live & Prepared)","Editorial voice, nuanced analysis, immediate response, media conventions, audience awareness, time constraints","Comentario mediático"
C2,Speaking,"Creative Performance & Dramatic Interpretation","Character interpretation, vocal modulation, dramatic timing, emotional authenticity, artistic expression through speech","Actuación e interpretación"
C2,Speaking,"Multilingual & Code-switching Discussions","Code-switching for rhetorical effect, multilingual puns, cultural references across languages, translation awareness","Discurso multilingüe"
C2,Vocabulary,"Specialized Technical Terminology (50+ words per field)","Medical: pathophysiology, pharmacokinetics, epidemiology; Legal: jurisprudence, liability, precedent; Physics: quantum, relativity, entropy","Terminología especializada"
C2,Vocabulary,"Rare & Archaic English Words (30+ words)","Erstwhile, forsooth, hither, thither, bequeath, perchance, harangue, obfuscate, sesquipedalian, perspicacity","Léxico arcaico"
C2,Vocabulary,"Idiomatic Expressions & Colloquialisms (30+ phrases)","Piece of cake, break a leg, raining cats and dogs, take the bull by the horns, call it a day, hit the nail on the head","Expresiones idiomáticas"
C2,Vocabulary,"Literary & Poetic Terminology (25+ terms)","Metonymy, synecdoche, oxymoron, zeugma, hendiadys, asyndeton, polysyndeton, antithesis, paradox, bathos, litotes, anaphora, epistrophe","Léxico poético"
C2,Vocabulary,"Semantic & Pragmatic Nuances (20+ distinctions)","Connotation vs denotation, implicature, speech acts, presupposition, conversational implicature, semantic shift, etymological roots","Análisis semántico"
